Brand,total_products,avg_rating,total_reviews,avg_reviews,avg_price,max_price,min_price,per,avg_rating_nor,avg_reviews_nor,avg_price_nor,total_productst_nor
+md,2,4.75,37,18.5,18.895,21.39,16.4,8.146971363395658e-05,0.3257941200310611,-0.28281755348951093,-0.3219373375749802,-0.25245607578464013
1000_mile,6,4.567,475,79.167,14.732,16.45,12.31,0.0002444091409018697,-0.33123696878228875,0.2322648717505487,-0.45038153703272726,-0.1502717680859446
100_percent,2,4.6,48,24.0,39.54,43.63,35.45,8.146971363395658e-05,-0.21275595276676842,-0.23612077700772796,0.3150385206535057,-0.25245607578464013
11_degrees,2,5.0,16,8.0,63.965,64.12,63.81,8.146971363395658e-05,1.2233775746941082,-0.371965944954733,1.0686415885745895,-0.25245607578464013
1worldsarong,6,4.633,92,15.333,18.485,20.88,15.76,0.0002444091409018697,-0.09427493675124489,-0.3097064064200213,-0.33458737883793394,-0.1502717680859446
247_clothing,9,4.356,398,44.222,17.619,18.33,16.79,0.0003666137113528046,-1.0887974045179016,-0.06442946536870697,-0.3613067342860264,-0.073633537311923
2cozee,1,4.2,578,578.0,21.73,21.73,21.73,4.073485681697829e-05,-1.648889480227642,4.4675181631573215,-0.23446693030553203,-0.278002152709314
2undr,2,5.0,4,2.0,54.99,79.99,29.99,8.146971363395658e-05,1.2233775746941082,-0.42290788293485987,0.791729099952615,-0.25245607578464013
2xu,12,4.725,210,17.5,91.119,218.16,16.8,0.0004888182818037394,0.23603577456475514,-0.29130787648619877,1.90644456529226,0.0030046934620986156
3w_grt,1,5.0,7,7.0,20.99,20.99,20.99,4.073485681697829e-05,1.2233775746941082,-0.38045626795142085,-0.2572987120972046,-0.278002152709314
47,2,4.7,44,22.0,23.35,28.39,18.31,8.146971363395658e-05,0.14627742909845234,-0.2531014230011036,-0.1844838404372759,-0.25245607578464013
4how,23,4.391,1299,56.478,27.967,52.72,19.31,0.0009369017067905007,-0.9631357208650745,0.039627933278698874,-0.04203203431274609,0.2840115396335112
4sold,13,4.662,552,42.462,10.383,11.88,0.0,0.0005295531386207178,0.009844743989668265,-0.07937243384287751,-0.5845645356975704,0.02855077038677249
4umor,4,4.775,78,19.5,15.162,16.45,13.76,0.00016293942726791315,0.41555246549736713,-0.27432723049282315,-0.4371144205862148,-0.20136392193529237
5.11,61,4.787,2233,36.607,124.491,283.03,19.08,0.0024848262658356754,0.45863647132119184,-0.1290832749884847,2.9360962165783357,1.2547624627711185
686,6,4.617,9,1.5,179.583,239.93,119.83,0.0002444091409018697,-0.15172027784967995,-0.4271530444332038,4.635891517209179,-0.1502717680859446
7goals,5,4.84,35,7.0,17.782,21.24,12.72,0.00020367428408489145,0.6489241637097576,-0.38045626795142085,-0.3562775715400229,-0.1758178450106185
90_points,1,4.5,30,30.0,13.07,13.07,13.07,4.073485681697829e-05,-0.571789334631986,-0.1851788390276011,-0.5016604847864566,-0.278002152709314
a2z_4_kids,11,4.409,1929,175.364,18.284,24.78,16.42,0.00044808342498676117,-0.8985097121293358,1.0490084730629263,-0.34078898443269906,-0.022541383462575258
a_express,3,4.6,284,94.667,8.623,8.93,8.07,0.00012220457045093486,-0.21275595276676842,0.3638648781992098,-0.6388671518507374,-0.22690999885996624
aaronano,7,4.643,2141,305.857,10.963,16.98,0.0,0.00028514399771884804,-0.05837159856472377,2.1569361918697094,-0.5666693553743676,-0.12472569116127075
abirdon,2,4.3,33,16.5,15.025,15.1,14.95,8.146971363395658e-05,-1.2898560983624243,-0.2997981994828866,-0.44134138559359204,-0.25245607578464013
able,3,4.833,73,24.333,6.613,6.63,6.6,0.00012220457045093486,0.6237918269791934,-0.23329349944983094,-0.7008832077983885,-0.22690999885996624
abollria,38,4.655,985,25.921,15.613,31.84,10.2,0.001547924559045175,-0.015287592740895879,-0.2198108665310907,-0.42319937519696577,0.6672026935036193
acelec,3,4.2,201,67.0,10.617,11.07,10.32,0.00012220457045093486,-1.648889480227642,0.12896311184984804,-0.5773447560499333,-0.22690999885996624
acelyn,1,4.3,19,19.0,29.05,29.05,29.05,4.073485681697829e-05,-1.2898560983624243,-0.27857239199116707,-0.008617413123041488,-0.278002152709314
achioowa,2,4.5,14,7.0,27.13,27.7,26.56,8.146971363395658e-05,-0.571789334631986,-0.38045626795142085,-0.0678566307446784,-0.25245607578464013
achruor,8,4.988,91,11.375,18.534,19.82,16.01,0.0003258788545358263,1.1802935688702836,-0.34331110484091165,-0.3330755446382151,-0.09917961423659688
acsox,1,4.4,49,49.0,12.75,12.75,12.75,4.073485681697829e-05,-0.9308227164972035,-0.023862702090532612,-0.5115336877233961,-0.278002152709314
actinput,5,4.44,124,24.8,18.082,24.19,15.49,0.00020367428408489145,-0.7872093637511158,-0.22932851861037773,-0.34702144378664207,-0.1758178450106185
active_wear,8,4.612,266,33.25,20.318,22.07,16.93,0.0003258788545358263,-0.16967194694294052,-0.15758528928836568,-0.27803243826477747,-0.09917961423659688
ad_taylor,9,4.689,672,74.667,11.983,14.98,8.23,0.0003666137113528046,0.10678375709327784,0.19405841826545353,-0.5351985210128729,-0.073633537311923
ada_socks,1,4.3,85,85.0,10.45,10.45,10.45,4.073485681697829e-05,-1.2898560983624243,0.2817889257902287,-0.5824973338326487,-0.278002152709314
adam_&_eesa,7,4.871,120,17.143,7.46,8.02,7.28,0.00028514399771884804,0.7602245120879775,-0.29433892179601634,-0.6747500737746769,-0.12472569116127075
adamark,2,4.3,122,61.0,11.635,11.75,11.52,8.146971363395658e-05,-1.2898560983624243,0.07802117386972116,-0.5459356292067946,-0.25245607578464013
